epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,134.29,0.55533,0.9807,1,0.05418,0.000468891,0.000468891,0.000468891
2,271.296,0.17955,0.95753,1,0.08093,0.000926509,0.000926509,0.000926509
3,403.809,0.16957,0.98456,1,0.0366,0.00136526,0.00136526,0.00136526
4,530.948,0.17995,0.94981,1,0.09592,0.00134412,0.00134412,0.00134412
5,665.669,0.15221,0.96139,1,0.07317,0.00131582,0.00131582,0.00131582
6,802.018,0.15217,0.96525,1,0.14879,0.00128753,0.00128753,0.00128753
7,935.546,0.11244,0.93822,1,0.38432,0.00125923,0.00125923,0.00125923
8,1065.89,0.11756,0.9807,1,0.06308,0.00123094,0.00123094,0.00123094
9,1196.8,0.08648,0.98456,1,0.03893,0.00120265,0.00120265,0.00120265
10,1328.57,0.08327,0.97683,1,0.32254,0.00117435,0.00117435,0.00117435
11,1459.59,0.07536,0.9807,1,0.08865,0.00114606,0.00114606,0.00114606
12,1594.64,0.06334,0.99228,1,0.01686,0.00111776,0.00111776,0.00111776
13,1723.7,0.07068,0.96139,1,0.28976,0.00108947,0.00108947,0.00108947
14,1851.06,0.05595,0.98456,1,0.04138,0.00106118,0.00106118,0.00106118
15,1983.43,0.05251,0.96911,1,0.16901,0.00103288,0.00103288,0.00103288
16,2112.45,0.04667,0.98842,1,0.02356,0.00100459,0.00100459,0.00100459
17,2248.67,0.08742,0.96911,1,0.06932,0.000976293,0.000976293,0.000976293
18,2378.28,0.06226,0.97683,1,0.09785,0.000947999,0.000947999,0.000947999
19,2514.23,0.04958,0.97297,1,0.13853,0.000919704,0.000919704,0.000919704
20,2644.7,0.06581,0.97297,1,0.17585,0.00089141,0.00089141,0.00089141
